1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
good,good,bad,bad,good,good,good,good,good,bad,good,bad,good,good,average
good,good,good,average,good,good,good,good,average,good,good,good,bad,average,good
good,bad,good,good,good,good,average,average,good,average,good,good,bad,good,good
good,good,good,good,good,good,good,good,good,good,good,good,good,good,average
good,good,average,good,average,good,average,good,average,bad,average,bad,good,bad,bad
bad,good,good,good,good,good,good,good,average,good,bad,good,average,good,bad
average,good,good,average,bad,good,average,good,good,good,average,good,good,good,bad
good,good,good,good,bad,good,good,bad,good,good,good,good,good,average,good
bad,bad,good,good,good,bad,good,good,average,good,good,good,good,good,good
average,average,bad,average,good,average,average,good,average,average,average,average,bad,average,average
bad,good,good,good,average,good,good,good,good,good,good,good,good,good,good
good,good,good,good,bad,good,good,good,good,good,average,average,good,good,average
good,good,good,good,bad,good,average,average,good,good,good,good,good,good,good
bad,good,good,good,bad,average,average,average,good,good,good,good,bad,average,good
good,good,average,good,bad,good,good,average,good,good,good,good,good,good,good
average,good,good,average,average,good,good,average,bad,average,good,good,good,average,good
good,good,good,good,good,average,good,good,good,good,good,good,average,good,good
good,good,good,average,good,good,good,good,average,good,average,average,good,good,average
good,good,good,good,good,good,average,good,average,good,good,good,good,average,good
good,good,average,good,average,bad,average,average,average,average,average,average,good,good,bad
good,bad,good,good,bad,good,bad,good,good,bad,average,good,good,good,good
good,good,good,good,good,good,good,good,good,good,average,good,good,good,bad
average,average,good,good,average,good,average,good,average,good,average,bad,good,good,good
good,good,good,good,good,good,bad,good,good,good,good,good,good,good,average
good,good,average,bad,average,bad,good,good,good,average,bad,good,average,average,average
average,good,good,average,average,good,average,bad,good,average,good,good,good,average,bad
good,good,good,good,good,good,bad,good,good,good,good,good,bad,good,average
good,good,good,average,average,good,average,average,average,average,average,good,average,average,good
good,good,good,average,good,good,average,good,bad,good,good,good,average,good,good
average,bad,good,good,average,good,average,good,average,average,good,average,average,average,good
good,good,good,bad,bad,good,average,good,average,good,good,good,good,average,good
good,good,good,good,good,good,good,good,good,good,good,good,bad,good,good
good,average,bad,good,average,good,good,good,average,good,good,average,average,bad,good
average,average,good,average,average,average,average,good,average,average,average,good,bad,good,good
good,good,good,good,bad,good,good,average,bad,good,good,good,bad,bad,good
bad,good,bad,good,average,average,good,good,average,average,average,average,average,average,average
good,good,good,good,good,good,average,average,good,good,good,good,bad,bad,good
good,good,average,average,good,good,good,good,good,good,good,average,average,good,average
average,good,good,good,bad,good,good,good,good,good,average,good,good,good,average
good,good,good,good,bad,good,good,average,good,bad,good,bad,bad,good,good
good,good,average,good,good,good,good,good,bad,bad,good,good,good,good,good
good,good,average,good,good,average,good,good,good,good,good,average,good,average,good
good,good,good,average,good,good,good,good,good,good,good,good,average,good,good
good,bad,good,good,good,good,good,good,good,good,good,good,good,good,good
bad,good,good,bad,average,average,bad,good,average,average,average,good,bad,good,bad
good,good,average,good,good,good,good,good,good,good,good,good,average,average,good
good,good,good,good,good,average,good,good,good,good,good,good,good,good,good
good,average,good,good,good,average,bad,good,good,bad,bad,average,bad,bad,average
good,good,bad,good,good,average,average,good,good,good,good,good,good,good,good
average,average,average,bad,average,good,average,bad,average,average,average,average,good,good,average
good,good,good,good,good,good,good,bad,good,good,good,bad,good,good,good
good,good,good,good,average,good,good,good,good,good,good,good,good,good,good
good,bad,average,average,good,average,good,good,good,good,good,good,good,good,good
good,good,average,good,good,good,good,good,good,good,good,average,good,good,good
average,good,good,good,good,good,bad,good,good,good,good,good,good,good,average
good,good,bad,average,average,good,good,average,good,good,good,average,average,good,bad
bad,good,good,good,good,good,good,average,average,good,bad,good,good,bad,bad
good,good,good,average,good,good,good,bad,good,good,good,good,good,good,good
average,good,good,average,good,average,average,good,bad,good,good,average,good,average,average
good,good,average,good,good,good,good,good,good,average,good,good,good,good,average
good,average,good,good,good,good,good,good,good,average,good,bad,bad,good,good
good,good,good,average,good,good,good,good,bad,good,average,good,average,good,average
good,good,good,good,good,good,bad,bad,bad,average,good,good,good,good,average
good,good,good,good,good,average,good,good,good,good,good,good,bad,good,good
good,average,good,good,good,average,good,bad,average,average,good,average,good,good,average
good,average,average,good,average,average,average,good,average,good,good,average,good,bad,good
good,good,bad,good,good,good,good,good,good,good,good,average,good,good,good
good,good,good,good,average,good,good,good,good,bad,average,bad,good,average,good
good,bad,good,good,bad,good,good,good,bad,good,good,good,good,bad,good
good,average,good,good,good,good,bad,good,good,bad,good,good,good,good,good
bad,good,average,good,good,good,average,bad,average,average,good,good,good,good,good
good,good,bad,average,average,good,good,average,good,good,good,bad,average,good,good
good,good,good,average,average,average,good,average,average,good,good,good,average,good,average
good,good,good,good,bad,good,good,good,good,good,good,good,good,good,good
good,bad,good,bad,good,good,good,good,good,good,good,good,good,average,good
good,good,good,bad,good,average,good,good,average,good,good,good,good,bad,good
good,good,good,good,good,good,average,good,good,good,bad,bad,good,bad,good
good,good,bad,good,good,average,average,average,good,good,good,good,good,bad,good
average,good,average,average,good,average,good,good,good,good,good,good,good,good,good
good,good,good,good,good,good,good,good,good,good,average,good,good,bad,average
good,good,average,good,good,good,good,good,good,average,good,good,good,good,average
good,good,average,bad,good,good,good,good,good,good,bad,bad,good,average,good
average,average,average,good,good,average,average,bad,average,average,bad,average,bad,average,good
average,bad,bad,bad,average,average,average,average,good,average,average,good,good,average,good
good,good,average,good,good,average,good,bad,bad,average,bad,good,good,good,good
good,good,good,good,average,good,good,good,average,good,good,average,good,good,good
good,good,good,good,good,good,good,good,good,good,good,good,good,good,good
good,average,good,average,average,average,average,average,average,good,average,average,average,good,average
good,good,bad,good,good,good,average,good,bad,good,good,bad,good,good,good
good,good,good,average,average,good,good,average,good,good,average,good,good,good,average
good,bad,bad,good,good,good,bad,good,bad,good,good,bad,good,good,good
good,good,bad,good,good,average,average,good,good,bad,bad,good,good,average,good
average,average,good,good,average,average,average,average,average,bad,average,good,average,average,average
average,average,good,average,good,good,bad,good,good,good,bad,good,good,good,good
average,average,average,average,good,good,good,average,average,good,average,average,average,average,average
good,bad,average,good,bad,average,good,good,good,average,average,average,good,good,good
good,good,good,good,average,good,good,good,good,good,good,average,average,average,good
good,good,average,good,good,good,average,good,good,good,average,good,good,average,good
good,good,average,good,good,good,good,average,good,good,good,good,bad,good,good
good,good,good,average,good,good,average,good,good,good,good,good,good,good,good
