1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,
awesome teaching,ordinary topic,dissatisfactory,regular,solid fundamentals,bad,ok,super teaching,easy to understand,poor,reasonable explainations,excellent,intermediate,solid fundamentals,avg explaination
,,,,,,,,,,,,,,
solid fundamentals,ok,easy to understand,medium,regular,awesome teaching,avg explaination,satisfactory teaching,easy to understand,lousy teaching,magnificent topic,easy to understand,outstanding explaination,disorganized,fantastic topic
,,,,,,,,,,,,,,
fantastic topic,nice teaching,average,bad,bad,outstanding explaination,well-structured,ok,disorganized,worthy topic,superb topic,superb topic,awful teaching,good quality,regular
,,,,,,,,,,,,,,
magnificent topic,fantastic topic,right amount to read,right amount to read,deficient topic,fantastic topic,solid fundamentals,right amount to read,easy to understand,toomuch to read,enjoyable,worthy topic,fantastic topic,super teaching,good quality
,,,,,,,,,,,,,,
dissatisfactory,superb topic,enjoyable,helpful topic,disorganized,medium,superb topic,standard,good quality,well-structured,acceptable concept,regular,terrible,avg explaination,solid fundamentals
,,,,,,,,,,,,,,
standard,medium,good,moderate,excellent,avg explaination,toomuch to read,okay,ok,typical,medium,solid fundamentals,okay,solid fundamentals,standard
,,,,,,,,,,,,,,
easy to understand,worthy topic,super teaching,dissatisfactory,good quality,excellent,well-structured,good quality,solid fundamentals,helpful topic,unsatisfactory teaching,super teaching,medium,substandard,okay
,,,,,,,,,,,,,,
solid fundamentals,acceptable concept,average,standard,well-structured,outstanding explaination,fine,worthy topic,reasonable explainations,typical,intermediate,unexceptional,regular,superb topic,normal
,,,,,,,,,,,,,,
nice teaching,excellent,good quality,good quality,toomuch to read,fantastic topic,helpful topic,outstanding explaination,awful teaching,ok,superb topic,good quality,super teaching,well-structured,worthy topic
,,,,,,,,,,,,,,
helpful topic,superb topic,fantastic topic,helpful topic,awesome teaching,right amount to read,acceptable concept,good quality,nice teaching,worthy topic,lousy teaching,ok,great topic,good,enjoyable
,,,,,,,,,,,,,,
ordinary topic,enjoyable,solid fundamentals,superb topic,well-structured,average,avg explaination,good,enjoyable,usual interaction,medium,regular,ok,helpful topic,terrible
,,,,,,,,,,,,,,
good quality,right amount to read,excellent,solid fundamentals,superb topic,helpful topic,great topic,easy to understand,magnificent topic,easy to understand,good quality,fantastic topic,worthy topic,well-structured,unacceptable explaination
,,,,,,,,,,,,,,
enjoyable,excellent,outstanding explaination,toomuch to read,enjoyable,bad,nice teaching,solid fundamentals,great topic,outstanding explaination,outstanding explaination,terrible,fantastic topic,okay,super teaching
,,,,,,,,,,,,,,
fantastic topic,toomuch to read,awesome teaching,solid fundamentals,well-structured,good quality,awful teaching,outstanding explaination,good,helpful topic,great topic,disorganized,enjoyable,well-structured,super teaching
,,,,,,,,,,,,,,
okay,dissatisfactory,regular,well-structured,normal,well-structured,suboptimal,right amount to read,fantastic topic,enjoyable,awful teaching,right amount to read,usual interaction,satisfactory teaching,awesome teaching
,,,,,,,,,,,,,,
