1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
well-structured,easy to understand,normal,ordinary topic,enjoyable,unexceptional,superb topic,moderate,superb topic,satisfactory teaching,okay,regular,unexceptional,standard,standard
super teaching,regular,superb topic,well-structured,toomuch to read,outstanding explaination,disorganized,excellent,moderate,acceptable concept,good,average,normal,fantastic topic,moderate
good quality,toomuch to read,easy to understand,superb topic,superb topic,good quality,great topic,enjoyable,worthy topic,enjoyable,outstanding explaination,good,worthy topic,worthy topic,enjoyable
great topic,toomuch to read,easy to understand,great topic,good,outstanding explaination,good,satisfactory teaching,average,fantastic topic,magnificent topic,worthy topic,nice teaching,fine,magnificent topic
dissatisfactory,deficient topic,typical,fantastic topic,well-structured,unexceptional,outstanding explaination,enjoyable,reasonable explainations,great topic,solid fundamentals,reasonable explainations,good quality,bad,lousy teaching
right amount to read,standard,super teaching,awesome teaching,usual interaction,super teaching,enjoyable,fantastic topic,outstanding explaination,enjoyable,super teaching,good,nice teaching,normal,good quality
fantastic topic,well-structured,excellent,enjoyable,normal,superb topic,helpful topic,easy to understand,typical,usual interaction,solid fundamentals,deficient topic,okay,standard,good
unexceptional,solid fundamentals,reasonable explainations,helpful topic,usual interaction,awesome teaching,usual interaction,dissatisfactory,helpful topic,good quality,right amount to read,ok,regular,typical,regular
outstanding explaination,poor,well-structured,easy to understand,awesome teaching,solid fundamentals,right amount to read,worthy topic,super teaching,great topic,worthy topic,well-structured,awesome teaching,standard,well-structured
good quality,good quality,regular,easy to understand,enjoyable,enjoyable,average,suboptimal,worthy topic,great topic,enjoyable,superb topic,lousy teaching,good,good quality
acceptable concept,fine,good,not required,superb topic,easy to understand,not required,normal,regular,superb topic,good,satisfactory teaching,good,normal,super teaching
magnificent topic,right amount to read,magnificent topic,outstanding explaination,worthy topic,fantastic topic,unsatisfactory teaching,substandard,superb topic,solid fundamentals,enjoyable,great topic,great topic,toomuch to read,magnificent topic
easy to understand,right amount to read,great topic,deficient topic,right amount to read,great topic,reasonable explainations,great topic,standard,ordinary topic,intermediate,usual interaction,typical,superb topic,good
bad,fine,magnificent topic,enjoyable,awesome teaching,typical,acceptable concept,normal,poor,superb topic,unexceptional,magnificent topic,great topic,superb topic,good
worthy topic,excellent,typical,helpful topic,great topic,super teaching,nice teaching,nice teaching,good quality,good,solid fundamentals,magnificent topic,good,outstanding explaination,awesome teaching
superb topic,awful teaching,poor,well-structured,worthy topic,well-structured,excellent,magnificent topic,helpful topic,helpful topic,helpful topic,intermediate,nice teaching,nice teaching,standard
enjoyable,excellent,easy to understand,right amount to read,standard,avg explaination,toomuch to read,typical,easy to understand,medium,okay,intermediate,moderate,acceptable concept,disorganized
good quality,right amount to read,awesome teaching,unsatisfactory teaching,outstanding explaination,satisfactory teaching,right amount to read,great topic,fantastic topic,outstanding explaination,super teaching,bad,nice teaching,super teaching,medium
easy to understand,well-structured,super teaching,magnificent topic,medium,medium,standard,good,disorganized,superb topic,poor,super teaching,magnificent topic,reasonable explainations,not required
poor,typical,fantastic topic,bad,awful teaching,helpful topic,terrible,ok,nice teaching,unexceptional,okay,helpful topic,dissatisfactory,standard,lousy teaching
good quality,fantastic topic,helpful topic,magnificent topic,usual interaction,terrible,nice teaching,nice teaching,awesome teaching,great topic,fantastic topic,awesome teaching,good,worthy topic,outstanding explaination
awesome teaching,superb topic,suboptimal,solid fundamentals,awesome teaching,outstanding explaination,solid fundamentals,well-structured,easy to understand,well-structured,outstanding explaination,nice teaching,good,enjoyable,well-structured
magnificent topic,usual interaction,excellent,nice teaching,medium,bad,typical,usual interaction,not required,okay,enjoyable,toomuch to read,well-structured,suboptimal,moderate
intermediate,superb topic,super teaching,standard,normal,avg explaination,super teaching,nice teaching,medium,solid fundamentals,acceptable concept,okay,solid fundamentals,solid fundamentals,satisfactory teaching
medium,fine,intermediate,ok,okay,right amount to read,usual interaction,ordinary topic,usual interaction,magnificent topic,well-structured,avg explaination,ok,easy to understand,fine
ok,enjoyable,intermediate,moderate,magnificent topic,nice teaching,good quality,moderate,solid fundamentals,terrible,acceptable concept,good,helpful topic,magnificent topic,helpful topic
awesome teaching,good quality,outstanding explaination,good,right amount to read,helpful topic,worthy topic,right amount to read,enjoyable,magnificent topic,not required,helpful topic,right amount to read,disorganized,average
magnificent topic,worthy topic,lousy teaching,magnificent topic,awesome teaching,great topic,ok,superb topic,solid fundamentals,solid fundamentals,worthy topic,great topic,enjoyable,good,outstanding explaination
solid fundamentals,reasonable explainations,outstanding explaination,satisfactory teaching,outstanding explaination,unexceptional,lousy teaching,awesome teaching,right amount to read,fantastic topic,okay,fine,super teaching,regular,easy to understand
